CANDIDATO;ID;Partido;ANO;TOTAL;%V/VV;%simples;DataF%VV;DataF%simples;Margem;PD ref
Luiz Inácio Lula da Silva;Lula-02;PT;2002;39455233;46,44386855;41,61841724;48;45;;4-5/out/02
José Serra;Serra-02;PSDB;2002;19705445;23,19583557;20,78582154;21;19;;4-5/out/02
Anthony Garotinho;Garotinho-02;PPS;2002;15180097;17,8689207;16,01236548;19;17;;4-5/out/02
Ciro Gomes;Ciro-02;PSB;2002;10170882;11,97243232;10,72851378;12;11;;4-5/out/02
José Maria de Almeida;ZéMaria-02;PSTU;2002;402236;0,47348335;0,42428911;1;1;;4-5/out/02
Rui Costa Pimenta;Rui-02;PCO;2002;38619;0,045459515;0,040736337;0;0;;4-5/out/02
BRANCO;BRANCO-02;;2002;2873720;;3,03127542;;6;;4-5/out/02
NULOS;NULOS-02;;2002;6976107;;7,3585811;;;;4-5/out/02
TOTAL regulares;regulares-02;;2002;94802339;100;100;101;99;;4-5/out/02
TOTAL VÁLIDOS;;;2002;84952512;;;;;;
Luiz Inácio Lula da Silva;Lula-06;PT;2006;46662365;48,60828441;44,51646696;50,54945055;46;2;29-30.set.06
Geraldo Alckmin;Alckmin-06;PSDB;2006;39968369;41,6351346;38,1303129;38,46153846;35;2;29-30.set.06
Heloísa Helena;Heloisa-06;PSOL;2006;6575393;6,849600809;6,273005349;8,791208791;8;2;29-30.set.06
Cristovam Buarque;Cristovam-06;PDT;2006;2538844;2,64471917;2,42208823;2,197802198;2;2;29-30.set.06
Ana Maria Rangel;Ana-06;PRP;2006;126404;0,131675314;0,120590962;0;0;2;29-30.set.06
José Maria Eymael;Eymael-06;PSDC;2006;63294;0,065933494;0,06038325;0;0;2;29-30.set.06
Luciano Bivar;Bivar-06;PSL;2006;62064;0,0646522;0,059209815;0;0;2;29-30.set.06
Rui Costa Pimenta;Rui-06;PCO;2006;0;0;0;0;0;2;29-30.set.06
BRANCO;Branco-06;;2006;2866205;;2,734394628;;9;2;29-30.set.06
NULOS;Nulos-06;;2006;5957521;;5,683547904;;;;
TOTAL regulares;Regulares-06;;2006;104820459;100;100;100;100;;
TOTAL VÁLIDOS;;;2006;95996733;;;;;;
Dilma Roussef;Dilma-10;PT;2010;47651434;46,90556377;42,85441878;50;47;2;01-02.out.10
José Serra;Serra-10;PSDB;2010;33132283;32,61367566;29,79689406;31;29;2;01-02.out.10
Marina Silva;Marina-10;PV;2010;19636359;19,32899835;17,65958926;17;16;2;01-02.out.10
Plínio de Arruda Sampaio;Plínio-10;PSOL;2010;886816;0,872934998;0,79754125;1;1;2;01-02.out.10
José Maria Eymael;Eymael-10;PSDC;2010;89350;0,087951438;0,080355238;0;0;2;01-02.out.10
José Maria de Almeida;ZéMaria-10;PSTU;2010;84609;0,083284647;0,076091509;0;0;2;01-02.out.10
Levy Fidélix;Levy-10;PRTB;2010;57960;0,057052774;0,052125233;0;0;2;01-02.out.10
Ivan Pinheiro;Pinheiro-10;PCB;2010;39136;0,038523419;0,035196224;0;0;2;01-02.out.10
Rui Costa Pimenta;Rui-10;PCO;2010;12206;0,012014944;0,010977236;0;0;2;01-02.out.10
BRANCO;Branco-10;;2010;3479340;;3,129078832;;6;2;01-02.out.10
NULOS;Nulos-10;;2010;6124254;;5,507732373;;;;
TOTAL regulares;Regulares-10;;2010;111193747;100;100;99;99;;
TOTAL VÁLIDOS;;;2010;101590153;;;;;;
Dilma Roussef;Dilma-14;PT;2014;43267668;41,59400749;37,58390318;44;40;2;3-4/out/14
Aécio Neves;Aécio-14;PSDB;2014;34897211;33,54733275;30,31301339;26;24;2;3-4/out/14
Marina Silva;Marina-14;Rede;2014;22176619;21,31879298;19,2634348;24;22;2;3-4/out/14
Luciana Genro;Genro-14;PSOL;2014;1612186;1,549824145;1,400404629;2;1;2;3-4/out/14
Pastor Everaldo;Everaldo-14;PSC;2014;780513;0,750321547;0,677982576;1;1;2;3-4/out/14
Eduardo Jorge;EduJorge-14;PV;2014;630099;0,605725793;0,54732739;1;1;2;3-4/out/14
Levy Fidélix;Levy-14;PRTB;2014;446878;0,429592066;0,388174826;0;0;2;3-4/out/14
José Maria de Almeida;ZéMaria-14;PSTU;2014;91209;0,087680894;0,079227524;0;0;2;3-4/out/14
José Maria Eymael;Eymael-14;PSDC;2014;61250;0,058880755;0,053204025;0;0;2;3-4/out/14
Mauro Iasi;Iasi-14;PCB;2014;47845;0,045994281;0,041559944;0;0;2;3-4/out/14
Rui Costa Pimenta;Rui-14;PCO;2014;12324;0,011847289;0,010705084;0;0;2;3-4/out/14
BRANCO;Branco-14;;2014;4420488;;3,839800033;;9;2;3-4/out/14
NULOS;Nulos-14;;2014;6678580;;5,801262599;;;;3-4/out/14
TOTAL regulares;Regulares-14;;2014;115122870;100;100;98;98;;3-4/out/14
TOTAL VÁLIDOS;;;2014;104023802;;;;;;
